,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
1,Antonio Ad·n,es ESP,GK,Betis,29,1987,37,37,"3,330",37,62,1.68,182,125,68.1,10,8,19,10,27,5,4,1,0,20
2,Sergio ¡Ålvarez,es ESP,GK,Celta Vigo,29,1986,26,26,"2,340",26,51,1.96,137,90,65.7,8,3,15,5,19.2,5,4,0,1,0
3,Diego Alves,br BRA,GK,Valencia,31,1985,33,33,"2,970",33,56,1.7,134,87,61.9,11,7,15,6,18.2,11,5,4,2,44.4
4,Jon Ander Serantes,es ESP,GK,Legan·s,26,1989,13,13,"1,110",12.3,22,1.78,50,31,62,4,1,8,4,30.8,3,3,0,0,0
5,Miguel ¡Ångel Moy·,es ESP,GK,Atl·tico Madrid,32,1984,9,8,769,8.6,6,0.7,30,24,80,6,2,0,5,62.5,0,0,0,0,
6,Markel Areitio,es ESP,GK,Eibar,19,1996,1,0,45,0.5,0,0,2,2,100,0,0,0,0,,0,0,0,0,
7,Kepa Arrizabalaga,es ESP,GK,Athletic Club,21,1994,23,23,"2,016",22.4,22,0.98,62,40,64.5,14,3,6,8,34.8,0,0,0,0,
8,Sergio Asenjo,es ESP,GK,Villarreal,27,1989,24,24,"2,105",23.4,15,0.64,80,67,82.5,10,9,5,11,45.8,2,1,1,0,50
9,Diego Barrios,es ESP,GK,Legan·s,22,1994,1,0,61,0.7,1,1.48,2,1,50,0,0,0,0,,0,0,0,0,
10,Rub·n Blanco,es ESP,GK,Celta Vigo,21,1995,11,11,990,11,15,1.36,40,30,75,5,3,3,2,18.2,5,5,0,0,0
11,Denys Boyko,ua UKR,GK,M·laga,28,1988,3,3,270,3,7,2.33,10,3,30,0,2,1,0,0,0,0,0,0,
12,Claudio Bravo,cl CHI,GK,Barcelona,33,1983,1,1,90,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,
13,Alberto Brignoli,it ITA,GK,Legan·s,24,1991,1,0,60,0.7,3,4.5,3,0,0,0,0,0,0,,0,0,0,0,
14,Kiko Casilla,es ESP,GK,Real Madrid,29,1986,11,11,990,11,10,0.91,30,22,70,9,2,0,5,45.5,2,1,1,0,50
15,Nereo Champagne,ar ARG,GK,Legan·s,31,1985,4,4,360,4,4,1,16,12,75,0,3,1,1,25,0,0,0,0,
16,Jasper Cillessen,nl NED,GK,Barcelona,27,1989,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,
17,Iv·n Cu·llar,es ESP,GK,Sporting GijÛn,32,1984,36,36,"3,240",36,69,1.92,184,123,65.8,6,10,20,7,19.4,8,6,2,0,25
18,Jaume Dom·nech,es ESP,GK,Valencia,25,1990,3,3,270,3,4,1.33,13,9,69.2,2,0,1,1,33.3,0,0,0,0,
19,¡Ålvaro Fern·ndez,es ESP,GK,Osasuna,18,1998,1,0,45,0.5,0,0,1,1,100,0,0,0,0,,0,0,0,0,
20,Andr·s Fern·ndez,es ESP,GK,Villarreal,29,1986,15,14,"1,315",14.6,18,1.23,68,54,79.4,9,1,4,5,35.7,4,4,0,0,0
21,Mario Fern·ndez,es ESP,GK,Osasuna,28,1988,7,7,585,6.5,14,2.15,29,18,55.2,0,4,3,1,14.3,3,1,2,0,66.7
22,Dani Gim·nez,es ESP,GK,Betis,33,1983,1,1,90,1,2,2,5,3,60,0,1,0,0,0,0,0,0,0,
23,Iago HerrerÌn,es ESP,GK,Legan·s,28,1988,21,21,"1,825",20.3,25,1.23,66,45,66.7,4,7,10,6,28.6,4,3,1,0,25
24,Gorka Iraizoz,es ESP,GK,Athletic Club,35,1981,16,15,"1,404",15.6,21,1.35,57,39,64.9,5,3,7,3,20,3,1,2,0,66.7
25,Carlos Kameni,cm CMR,GK,M·laga,32,1984,35,35,"3,150",35,48,1.37,133,92,68.4,12,8,15,8,22.9,7,6,1,0,14.3
26,Ra˙l Lizoain,es ESP,GK,Las Palmas,25,1991,13,13,"1,170",13,27,2.08,57,34,59.6,3,4,6,3,23.1,4,4,0,0,0
27,Diego LÛpez,es ESP,GK,Espanyol,34,1981,35,35,"3,113",34.6,38,1.1,153,117,76.5,15,9,11,11,31.4,2,2,0,0,0
28,Germ·n Lux,ar ARG,GK,La CoruÒa,34,1982,25,25,"2,205",24.5,38,1.55,111,75,67.6,5,7,13,6,24,2,2,0,0,0
29,Diego MariÒo,es ESP,GK,Sporting GijÛn,26,1990,2,2,180,2,3,1.5,11,9,81.8,1,0,1,0,0,1,1,0,0,0
30,Keylor Navas,cr CRC,GK,Real Madrid,29,1986,27,27,"2,430",27,31,1.15,113,83,73.5,20,4,3,5,18.5,2,1,0,1,0
31,Jan Oblak,si SVN,GK,Atl·tico Madrid,23,1993,30,30,"2,651",29.4,21,0.71,81,63,77.8,17,7,6,15,50,4,3,1,0,25
32,Guillermo Ochoa,mx MEX,GK,Granada,31,1985,38,38,"3,420",38,82,2.16,242,163,66.9,4,8,26,3,7.9,4,2,1,1,33.3
33,Adri·n Ortol·,es ESP,GK,Alav·s,22,1993,2,2,180,2,1,0.5,7,6,85.7,1,1,0,1,50,0,0,0,0,
34,Fernando Pacheco,es ESP,GK,Alav·s,24,1992,36,36,"3,240",36,42,1.17,149,113,74.5,13,12,11,11,30.6,6,4,2,0,33.3
35,Nauzet P·rez,es ESP,GK,Osasuna,31,1985,13,13,"1,170",13,29,2.23,66,38,57.6,1,3,9,0,0,1,1,0,0,0
36,Sergio Rico,es ESP,GK,Sevilla,22,1993,35,35,"3,150",35,45,1.29,152,111,72.4,20,8,7,12,34.3,4,3,1,0,25
37,Asier Riesgo,es ESP,GK,Eibar,32,1983,16,16,"1,252",13.9,19,1.37,48,32,66.7,7,3,6,4,25,3,3,0,0,0
38,Roberto,es ESP,GK,Espanyol,30,1986,4,3,307,3.4,12,3.52,22,10,45.5,0,2,1,0,0,0,0,0,0,
39,Davy Roef,be BEL,GK,La CoruÒa,22,1994,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,
40,GerÛnimo Rulli,ar ARG,GK,Real Sociedad,24,1992,38,38,"3,420",38,53,1.39,156,108,68.6,19,7,12,10,26.3,7,4,1,2,20
41,Mathew Ryan,au AUS,GK,Valencia,24,1992,2,2,180,2,5,2.5,7,4,42.9,0,0,2,0,0,2,1,1,0,50
42,Salvatore Sirigu,it ITA,GK,Sevilla,29,1987,2,2,177,2,3,1.53,7,5,71.4,0,1,1,0,0,1,1,0,0,0
43,Salvatore Sirigu,it ITA,GK,Osasuna,29,1987,18,18,"1,620",18,51,2.83,97,49,49.5,3,3,12,1,5.6,4,2,1,1,33.3
44,David Soria,es ESP,GK,Sevilla,23,1993,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,0,
45,Marc-AndrÈ ter Stegen,de GER,GK,Barcelona,24,1992,36,36,"3,240",36,33,0.92,154,121,78.6,27,6,3,13,36.1,0,0,0,0,
46,Przemyslaw Tyton,pl POL,GK,La CoruÒa,29,1987,13,12,"1,125",12.5,23,1.84,53,31,58.5,2,5,5,2,16.7,1,1,0,0,0
47,Javi Varas,es ESP,GK,Las Palmas,33,1982,25,25,"2,250",25,47,1.88,108,68,63,7,5,13,2,8,7,7,0,0,0
48,Iv·n Villar,es ESP,GK,Celta Vigo,19,1997,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,
49,Yoel,es ESP,GK,Eibar,27,1988,25,22,"2,116",23.5,32,1.36,102,73,70.6,8,6,8,7,31.8,3,2,1,0,33.3
