season,best_player,best_goalkeeper,best_defender,best_midfielder1,best_midfielder2,best_forward,best_marca_footballer
2010-2011,Lionel Messi,Víctor Valdés,Éric Abidal,Xavi,Andrés Iniesta,Lionel Messi,Lionel Messi
2011-2012,Lionel Messi,Iker Casillas,Sergio Ramos,Xabi Alonso,Andrés Iniesta,Lionel Messi,Cristiano Ronaldo
2012-2013,Lionel Messi,Thibaut Courtois,Sergio Ramos,Asier Illarramendi,Andrés Iniesta,Lionel Messi,Cristiano Ronaldo
2013-2014,Cristiano Ronaldo,Keylor Navas,Sergio Ramos,Luka Modri?,Andrés Iniesta,Cristiano Ronaldo,Cristiano Ronaldo
2014-2015,Lionel Messi,Claudio Bravo,Sergio Ramos,James Rodríguez,Not awarded,Lionel Messi,Lionel Messi
2015-2016,Antoine Griezmann,Jan Oblak,Diego Godín,Luka Modri?,Not awarded,Lionel Messi,Cristiano Ronaldo
2016-2017,Lionel Messi,Jan Oblak,Sergio Ramos,Luka Modri?,Not awarded,Lionel Messi,Lionel Messi
2017-2018,Lionel Messi,Jan Oblak,Not awarded,Not awarded,Not awarded,Lionel Messi,Lionel Messi
2018-2019,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Lionel Messi
2019-2020,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded
2020-2021,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded
2021-2022,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded,Not awarded
