,,Performance,,,,,,,,,,,,,Aerial Duels,,
Squad,# Pl,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Alavés,30,96,8,5,513,487,73,645,427,292,5,3,0,1737,831,602,58
Athletic Club,27,82,3,1,483,477,77,812,344,269,5,6,1,1836,656,601,52.2
Atlético Madrid,25,100,0,0,489,443,96,597,386,367,6,4,3,1951,530,482,52.4
Barcelona,25,72,2,2,357,523,90,494,361,293,6,5,2,1937,395,317,55.5
Betis,25,93,8,4,521,483,65,586,453,315,9,10,3,1938,613,628,49.4
Cádiz,34,81,3,2,436,483,56,731,437,317,3,10,1,1809,687,753,47.7
Celta Vigo,30,109,5,3,631,492,65,521,405,368,7,8,1,1988,609,669,47.7
Eibar,30,71,3,2,494,387,67,1052,434,309,4,5,0,2179,908,917,49.8
Elche,30,99,3,2,527,456,51,672,386,336,1,10,1,1811,488,539,47.5
Getafe,31,120,7,2,631,520,74,815,393,352,3,8,3,1943,840,946,47
Granada,34,97,6,1,533,469,82,613,392,279,4,12,1,1800,675,851,44.2
Huesca,27,69,2,1,528,518,101,824,437,321,2,5,2,1876,580,598,49.2
Levante,29,68,1,0,509,397,69,697,435,282,5,4,2,2023,455,522,46.6
Osasuna,28,80,5,3,535,407,67,700,392,281,3,8,2,2071,996,806,55.3
Real Madrid,30,59,2,1,407,474,86,771,398,318,2,8,1,1901,444,381,53.8
Real Sociedad,30,81,1,0,566,459,86,712,315,322,8,5,1,1941,663,669,49.8
Sevilla,26,79,2,2,491,488,69,731,362,297,4,6,2,1944,615,534,53.5
Valencia,30,82,5,3,459,525,90,613,392,277,6,8,2,1832,602,575,51.1
Valladolid,32,93,4,0,510,510,75,744,431,321,8,7,0,1922,628,818,43.4
Villarreal,29,67,5,1,449,465,88,579,371,313,7,9,2,1878,489,496,49.6
